"","Registry","Sex","Cancer","Year","Incidence","Mortality"
"1","AT Austria","Male","Colon","1990",61.09,40.06
"2","AT Austria","Male","Pancreas","1990",23.39,22.82
"3","AT Austria","Male","Lung","1990",111.56,106.89
"4","AT Austria","Male","Melanoma of the skin","1990",13.14,4.77
"5","AT Austria","Male","Prostate","1990",115.38,62.11
"6","AT Austria","Male","Bladder","1990",46.86,17.81
"7","AT Austria","Female","Colon","1990",41.87,26.44
"8","AT Austria","Female","Pancreas","1990",15.99,16.04
"9","AT Austria","Female","Lung","1990",23.48,20.01
"10","AT Austria","Female","Melanoma of the skin","1990",10.78,3.18
"11","AT Austria","Female","Breast female","1990",104.35,47.49
"12","AT Austria","Female","Bladder","1990",12.77,4.93
"13","DK Denmark","Male","Colon","1990",52.53,39.47
"14","DK Denmark","Male","Pancreas","1990",17.97,20.34
"15","DK Denmark","Male","Lung","1990",111.55,122.87
"16","DK Denmark","Male","Melanoma of the skin","1990",15.78,6.19
"17","DK Denmark","Male","Prostate","1990",92.14,62.43
"18","DK Denmark","Male","Bladder","1990",64.07,27.71
"19","DK Denmark","Female","Colon","1990",46.99,30.33
"20","DK Denmark","Female","Pancreas","1990",15.56,16.8
"21","DK Denmark","Female","Lung","1990",49.18,48.46
"22","DK Denmark","Female","Melanoma of the skin","1990",18.86,4.46
"23","DK Denmark","Female","Breast female","1990",119.23,55.03
"24","DK Denmark","Female","Bladder","1990",16.66,5.65
"25","NL Netherlands","Male","Colon","1990",53.11,35.01
"26","NL Netherlands","Male","Pancreas","1990",16.15,19.64
"27","NL Netherlands","Male","Lung","1990",168.98,171.07
"28","NL Netherlands","Male","Melanoma of the skin","1990",9.51,3.19
"29","NL Netherlands","Male","Prostate","1990",115.3,67.12
"30","NL Netherlands","Male","Bladder","1990",66.57,24
"31","NL Netherlands","Female","Colon","1990",43.42,29.02
"32","NL Netherlands","Female","Pancreas","1990",11.73,15.07
"33","NL Netherlands","Female","Lung","1990",22.73,20.66
"34","NL Netherlands","Female","Melanoma of the skin","1990",13.61,2.85
"35","NL Netherlands","Female","Breast female","1990",136.75,54.88
"36","NL Netherlands","Female","Bladder","1990",11.9,5.23
"37","AT Austria","Male","Colon","1991",57.8,40.86
"38","AT Austria","Male","Pancreas","1991",20.93,21.51
"39","AT Austria","Male","Lung","1991",111.05,106.51
"40","AT Austria","Male","Melanoma of the skin","1991",13.85,6.06
"41","AT Austria","Male","Prostate","1991",112.89,67.24
"42","AT Austria","Male","Bladder","1991",48.49,18.41
"43","AT Austria","Female","Colon","1991",40.64,26.51
"44","AT Austria","Female","Pancreas","1991",16.12,15.86
"45","AT Austria","Female","Lung","1991",23.28,21.94
"46","AT Austria","Female","Melanoma of the skin","1991",11.72,3.04
"47","AT Austria","Female","Breast female","1991",107.64,45.56
"48","AT Austria","Female","Bladder","1991",11.58,4.71
"49","DK Denmark","Male","Colon","1991",49.42,38.38
"50","DK Denmark","Male","Pancreas","1991",17.61,20.78
"51","DK Denmark","Male","Lung","1991",111.48,112.9
"52","DK Denmark","Male","Melanoma of the skin","1991",15.7,5.54
"53","DK Denmark","Male","Prostate","1991",93.73,61.55
"54","DK Denmark","Male","Bladder","1991",69.59,25.35
"55","DK Denmark","Female","Colon","1991",45.8,31.41
"56","DK Denmark","Female","Pancreas","1991",15.27,16.53
"57","DK Denmark","Female","Lung","1991",51.19,51.66
"58","DK Denmark","Female","Melanoma of the skin","1991",17.05,3.98
"59","DK Denmark","Female","Breast female","1991",128.51,56.23
"60","DK Denmark","Female","Bladder","1991",17.14,6.75
"61","NL Netherlands","Male","Colon","1991",52.97,36.96
"62","NL Netherlands","Male","Pancreas","1991",17.22,20.6
"63","NL Netherlands","Male","Lung","1991",169.82,172.5
"64","NL Netherlands","Male","Melanoma of the skin","1991",10.56,3.88
"65","NL Netherlands","Male","Prostate","1991",117.79,66.3
"66","NL Netherlands","Male","Bladder","1991",65.53,22
"67","NL Netherlands","Female","Colon","1991",44.83,28.96
"68","NL Netherlands","Female","Pancreas","1991",11.14,13.78
"69","NL Netherlands","Female","Lung","1991",24.71,21.06
"70","NL Netherlands","Female","Melanoma of the skin","1991",13.25,2.85
"71","NL Netherlands","Female","Breast female","1991",140.15,56.99
"72","NL Netherlands","Female","Bladder","1991",12.79,5.02
"73","AT Austria","Male","Colon","1992",58.23,39.99
"74","AT Austria","Male","Pancreas","1992",23.31,23.17
"75","AT Austria","Male","Lung","1992",109.21,102.16
"76","AT Austria","Male","Melanoma of the skin","1992",12.5,6.05
"77","AT Austria","Male","Prostate","1992",119.33,63.85
"78","AT Austria","Male","Bladder","1992",46.25,18.2
"79","AT Austria","Female","Colon","1992",38.77,24.49
"80","AT Austria","Female","Pancreas","1992",16.46,17.2
"81","AT Austria","Female","Lung","1992",22.66,21.27
"82","AT Austria","Female","Melanoma of the skin","1992",12.38,3.12
"83","AT Austria","Female","Breast female","1992",111.6,46.83
"84","AT Austria","Female","Bladder","1992",11.03,4.87
"85","DK Denmark","Male","Colon","1992",51.89,38.04
"86","DK Denmark","Male","Pancreas","1992",18.11,19.91
"87","DK Denmark","Male","Lung","1992",114.44,114.87
"88","DK Denmark","Male","Melanoma of the skin","1992",14.48,5.64
"89","DK Denmark","Male","Prostate","1992",93.97,68.22
"90","DK Denmark","Male","Bladder","1992",67.85,25.91
"91","DK Denmark","Female","Colon","1992",47.94,32.41
"92","DK Denmark","Female","Pancreas","1992",14.3,16.01
"93","DK Denmark","Female","Lung","1992",50.07,48.74
"94","DK Denmark","Female","Melanoma of the skin","1992",18.9,3.76
"95","DK Denmark","Female","Breast female","1992",141.53,58.74
"96","DK Denmark","Female","Bladder","1992",17.29,6.15
"97","NL Netherlands","Male","Colon","1992",56.66,36.82
"98","NL Netherlands","Male","Pancreas","1992",16.37,19.35
"99","NL Netherlands","Male","Lung","1992",166.98,166.97
"100","NL Netherlands","Male","Melanoma of the skin","1992",11.15,3.71
"101","NL Netherlands","Male","Prostate","1992",131.39,67.94
"102","NL Netherlands","Male","Bladder","1992",67.19,21.64
"103","NL Netherlands","Female","Colon","1992",45.42,27.72
"104","NL Netherlands","Female","Pancreas","1992",11.56,14.34
"105","NL Netherlands","Female","Lung","1992",25.51,23.16
"106","NL Netherlands","Female","Melanoma of the skin","1992",14.25,2.83
"107","NL Netherlands","Female","Breast female","1992",149.76,55.69
"108","NL Netherlands","Female","Bladder","1992",12.35,5.1
"109","AT Austria","Male","Colon","1993",62.56,41.77
"110","AT Austria","Male","Pancreas","1993",23.18,23.6
"111","AT Austria","Male","Lung","1993",114.79,106.23
"112","AT Austria","Male","Melanoma of the skin","1993",15.82,4.49
"113","AT Austria","Male","Prostate","1993",131.88,65.26
"114","AT Austria","Male","Bladder","1993",45.48,17.34
"115","AT Austria","Female","Colon","1993",41.94,25.61
"116","AT Austria","Female","Pancreas","1993",17.46,16.21
"117","AT Austria","Female","Lung","1993",24.52,21.55
"118","AT Austria","Female","Melanoma of the skin","1993",13.35,3.21
"119","AT Austria","Female","Breast female","1993",119.25,46.66
"120","AT Austria","Female","Bladder","1993",11.72,4.91
"121","DK Denmark","Male","Colon","1993",53.02,39
"122","DK Denmark","Male","Pancreas","1993",17.18,19.39
"123","DK Denmark","Male","Lung","1993",114.09,124.29
"124","DK Denmark","Male","Melanoma of the skin","1993",16.24,4.72
"125","DK Denmark","Male","Prostate","1993",88.5,66.52
"126","DK Denmark","Male","Bladder","1993",72.28,27.28
"127","DK Denmark","Female","Colon","1993",43,31.32
"128","DK Denmark","Female","Pancreas","1993",13.9,16.06
"129","DK Denmark","Female","Lung","1993",54.11,52.44
"130","DK Denmark","Female","Melanoma of the skin","1993",17.61,3.64
"131","DK Denmark","Female","Breast female","1993",130.35,54.82
"132","DK Denmark","Female","Bladder","1993",17.85,6.88
"133","NL Netherlands","Male","Colon","1993",53.78,37.28
"134","NL Netherlands","Male","Pancreas","1993",15.54,18.77
"135","NL Netherlands","Male","Lung","1993",158.38,165.32
"136","NL Netherlands","Male","Melanoma of the skin","1993",10.44,3.66
"137","NL Netherlands","Male","Prostate","1993",140.21,70.92
"138","NL Netherlands","Male","Bladder","1993",67.71,21.07
"139","NL Netherlands","Female","Colon","1993",45.71,29.07
"140","NL Netherlands","Female","Pancreas","1993",11.08,13.27
"141","NL Netherlands","Female","Lung","1993",28.22,24.92
"142","NL Netherlands","Female","Melanoma of the skin","1993",13.15,2.84
"143","NL Netherlands","Female","Breast female","1993",152.18,56.27
"144","NL Netherlands","Female","Bladder","1993",12.34,5.03
"145","AT Austria","Male","Colon","1994",63.82,39.94
"146","AT Austria","Male","Pancreas","1994",24.69,24.66
"147","AT Austria","Male","Lung","1994",104.42,97.03
"148","AT Austria","Male","Melanoma of the skin","1994",16.15,5.85
"149","AT Austria","Male","Prostate","1994",150.2,60.23
"150","AT Austria","Male","Bladder","1994",49.14,15.78
"151","AT Austria","Female","Colon","1994",40.87,24.85
"152","AT Austria","Female","Pancreas","1994",17.35,17.45
"153","AT Austria","Female","Lung","1994",25.56,22.9
"154","AT Austria","Female","Melanoma of the skin","1994",14.14,3.75
"155","AT Austria","Female","Breast female","1994",118.28,45.95
"156","AT Austria","Female","Bladder","1994",10.7,4.34
"157","CZ Czech Republic","Male","Colon","1994",65.32,49.09
"158","CZ Czech Republic","Male","Pancreas","1994",24.59,24.99
"159","CZ Czech Republic","Male","Lung","1994",151,141.19
"160","CZ Czech Republic","Male","Melanoma of the skin","1994",14.89,6.32
"161","CZ Czech Republic","Male","Prostate","1994",90.15,53.45
"162","CZ Czech Republic","Male","Bladder","1994",41.4,19.12
"163","CZ Czech Republic","Female","Colon","1994",40.27,26.94
"164","CZ Czech Republic","Female","Pancreas","1994",17.61,17.07
"165","CZ Czech Republic","Female","Lung","1994",26.24,24.15
"166","CZ Czech Republic","Female","Melanoma of the skin","1994",11.42,3.63
"167","CZ Czech Republic","Female","Breast female","1994",101.61,45.77
"168","CZ Czech Republic","Female","Bladder","1994",10.16,4.52
"169","DK Denmark","Male","Colon","1994",52.05,41.09
"170","DK Denmark","Male","Pancreas","1994",17.13,19.32
"171","DK Denmark","Male","Lung","1994",114.22,118.18
"172","DK Denmark","Male","Melanoma of the skin","1994",17.66,5.46
"173","DK Denmark","Male","Prostate","1994",86.42,66.02
"174","DK Denmark","Male","Bladder","1994",69.2,26.27
"175","DK Denmark","Female","Colon","1994",46.14,31.12
"176","DK Denmark","Female","Pancreas","1994",14.24,15.5
"177","DK Denmark","Female","Lung","1994",60.34,56.75
"178","DK Denmark","Female","Melanoma of the skin","1994",20.87,3.75
"179","DK Denmark","Female","Breast female","1994",132.91,53.33
"180","DK Denmark","Female","Bladder","1994",18.06,7.4
"181","IE Ireland","Male","Colon","1994",63.58,40.75
"182","IE Ireland","Male","Pancreas","1994",18.01,21.68
"183","IE Ireland","Male","Lung","1994",109.79,107.67
"184","IE Ireland","Male","Melanoma of the skin","1994",12.89,2.15
"185","IE Ireland","Male","Prostate","1994",129,64.48
"186","IE Ireland","Male","Bladder","1994",39.61,13.71
"187","IE Ireland","Female","Colon","1994",46.18,27.26
"188","IE Ireland","Female","Pancreas","1994",14.54,14.35
"189","IE Ireland","Female","Lung","1994",42.26,42.92
"190","IE Ireland","Female","Melanoma of the skin","1994",17.38,1.94
"191","IE Ireland","Female","Breast female","1994",120.9,53.31
"192","IE Ireland","Female","Bladder","1994",14.76,6.29
"193","NL Netherlands","Male","Colon","1994",56.58,37.51
"194","NL Netherlands","Male","Pancreas","1994",15.02,18.61
"195","NL Netherlands","Male","Lung","1994",156.74,159.78
"196","NL Netherlands","Male","Melanoma of the skin","1994",12.45,4.61
"197","NL Netherlands","Male","Prostate","1994",158.92,71.44
"198","NL Netherlands","Male","Bladder","1994",68.22,19.54
"199","NL Netherlands","Female","Colon","1994",44.49,27.05
"200","NL Netherlands","Female","Pancreas","1994",11.08,13.94
"201","NL Netherlands","Female","Lung","1994",28.6,26.09
"202","NL Netherlands","Female","Melanoma of the skin","1994",16.24,2.91
"203","NL Netherlands","Female","Breast female","1994",156.62,55.9
"204","NL Netherlands","Female","Bladder","1994",12.93,5.09
"205","AT Austria","Male","Colon","1995",61.23,38.91
"206","AT Austria","Male","Pancreas","1995",21.86,24.04
"207","AT Austria","Male","Lung","1995",102.31,95.79
"208","AT Austria","Male","Melanoma of the skin","1995",15.91,4.97
"209","AT Austria","Male","Prostate","1995",160.87,65.68
"210","AT Austria","Male","Bladder","1995",50.91,17.78
"211","AT Austria","Female","Colon","1995",40.51,24.99
"212","AT Austria","Female","Pancreas","1995",16.39,16.97
"213","AT Austria","Female","Lung","1995",25.75,21.72
"214","AT Austria","Female","Melanoma of the skin","1995",13.99,4.06
"215","AT Austria","Female","Breast female","1995",117.73,45.94
"216","AT Austria","Female","Bladder","1995",11.86,5
"217","CZ Czech Republic","Male","Colon","1995",66.51,46.36
"218","CZ Czech Republic","Male","Pancreas","1995",24.32,25.04
"219","CZ Czech Republic","Male","Lung","1995",149,149.31
"220","CZ Czech Republic","Male","Melanoma of the skin","1995",15.59,5.35
"221","CZ Czech Republic","Male","Prostate","1995",92.31,52.8
"222","CZ Czech Republic","Male","Bladder","1995",43.95,20.02
"223","CZ Czech Republic","Female","Colon","1995",41.41,27.51
"224","CZ Czech Republic","Female","Pancreas","1995",16.58,17.88
"225","CZ Czech Republic","Female","Lung","1995",25.55,24.82
"226","CZ Czech Republic","Female","Melanoma of the skin","1995",14.28,3.08
"227","CZ Czech Republic","Female","Breast female","1995",99.87,47.1
"228","CZ Czech Republic","Female","Bladder","1995",10.66,4.18
"229","DK Denmark","Male","Colon","1995",48.96,41.23
"230","DK Denmark","Male","Pancreas","1995",15.67,18.4
"231","DK Denmark","Male","Lung","1995",111.64,120.75
"232","DK Denmark","Male","Melanoma of the skin","1995",19.34,5.86
"233","DK Denmark","Male","Prostate","1995",85.59,68.34
"234","DK Denmark","Male","Bladder","1995",65.06,27.64
"235","DK Denmark","Female","Colon","1995",44.77,29.79
"236","DK Denmark","Female","Pancreas","1995",13.89,15.75
"237","DK Denmark","Female","Lung","1995",57.9,58.16
"238","DK Denmark","Female","Melanoma of the skin","1995",21.7,4.3
"239","DK Denmark","Female","Breast female","1995",135.53,61.33
"240","DK Denmark","Female","Bladder","1995",15.28,6.66
"241","IE Ireland","Male","Colon","1995",59.59,42.82
"242","IE Ireland","Male","Pancreas","1995",15.8,19.27
"243","IE Ireland","Male","Lung","1995",101.07,108.86
"244","IE Ireland","Male","Melanoma of the skin","1995",10.14,3.29
"245","IE Ireland","Male","Prostate","1995",134.75,68.48
"246","IE Ireland","Male","Bladder","1995",38.78,15.24
"247","IE Ireland","Female","Colon","1995",44.81,27.73
"248","IE Ireland","Female","Pancreas","1995",13.16,14.48
"249","IE Ireland","Female","Lung","1995",41.88,44.46
"250","IE Ireland","Female","Melanoma of the skin","1995",17.17,2.11
"251","IE Ireland","Female","Breast female","1995",120.45,53.08
"252","IE Ireland","Female","Bladder","1995",9.35,3.95
"253","NL Netherlands","Male","Colon","1995",55.24,37.72
"254","NL Netherlands","Male","Pancreas","1995",15.15,18.52
"255","NL Netherlands","Male","Lung","1995",152.47,156.93
"256","NL Netherlands","Male","Melanoma of the skin","1995",12.44,3.74
"257","NL Netherlands","Male","Prostate","1995",159.43,71.34
"258","NL Netherlands","Male","Bladder","1995",70.76,20.05
"259","NL Netherlands","Female","Colon","1995",43.62,28.8
"260","NL Netherlands","Female","Pancreas","1995",12.18,13.56
"261","NL Netherlands","Female","Lung","1995",29.97,27.22
"262","NL Netherlands","Female","Melanoma of the skin","1995",15.62,2.91
"263","NL Netherlands","Female","Breast female","1995",147.37,53.76
"264","NL Netherlands","Female","Bladder","1995",12.3,4.13
"265","AT Austria","Male","Colon","1996",64.89,38.75
"266","AT Austria","Male","Pancreas","1996",24.58,23.4
"267","AT Austria","Male","Lung","1996",106.65,96.37
"268","AT Austria","Male","Melanoma of the skin","1996",16.05,5.06
"269","AT Austria","Male","Prostate","1996",165.07,62.73
"270","AT Austria","Male","Bladder","1996",50.08,14.44
"271","AT Austria","Female","Colon","1996",39.34,23.23
"272","AT Austria","Female","Pancreas","1996",15.94,15.59
"273","AT Austria","Female","Lung","1996",27.62,22.72
"274","AT Austria","Female","Melanoma of the skin","1996",13.71,3.34
"275","AT Austria","Female","Breast female","1996",122.59,44.71
"276","AT Austria","Female","Bladder","1996",11.52,4.03
"277","CZ Czech Republic","Male","Colon","1996",67.21,46.74
"278","CZ Czech Republic","Male","Pancreas","1996",26.32,25.2
"279","CZ Czech Republic","Male","Lung","1996",155.91,138.62
"280","CZ Czech Republic","Male","Melanoma of the skin","1996",16.56,5.83
"281","CZ Czech Republic","Male","Prostate","1996",105.48,55.82
"282","CZ Czech Republic","Male","Bladder","1996",46.43,18.6
"283","CZ Czech Republic","Female","Colon","1996",43.71,27.96
"284","CZ Czech Republic","Female","Pancreas","1996",17.41,16.81
"285","CZ Czech Republic","Female","Lung","1996",27.36,24.97
"286","CZ Czech Republic","Female","Melanoma of the skin","1996",12.79,2.99
"287","CZ Czech Republic","Female","Breast female","1996",97.92,43.26
"288","CZ Czech Republic","Female","Bladder","1996",11.64,4.19
"289","DK Denmark","Male","Colon","1996",52.17,38.93
"290","DK Denmark","Male","Pancreas","1996",15.88,17.93
"291","DK Denmark","Male","Lung","1996",106.37,117.02
"292","DK Denmark","Male","Melanoma of the skin","1996",17.39,5.6
"293","DK Denmark","Male","Prostate","1996",93.21,66.55
"294","DK Denmark","Male","Bladder","1996",65.51,27.34
"295","DK Denmark","Female","Colon","1996",43.21,30.36
"296","DK Denmark","Female","Pancreas","1996",13.37,14.45
"297","DK Denmark","Female","Lung","1996",57.47,55.54
"298","DK Denmark","Female","Melanoma of the skin","1996",18.71,3.31
"299","DK Denmark","Female","Breast female","1996",141.9,56.38
"300","DK Denmark","Female","Bladder","1996",16.53,7.59
"301","IE Ireland","Male","Colon","1996",61.3,39.65
"302","IE Ireland","Male","Pancreas","1996",19.04,17.96
"303","IE Ireland","Male","Lung","1996",102.23,101.09
"304","IE Ireland","Male","Melanoma of the skin","1996",11.01,2.8
"305","IE Ireland","Male","Prostate","1996",137.21,69.02
"306","IE Ireland","Male","Bladder","1996",37.92,13.8
"307","IE Ireland","Female","Colon","1996",41.42,27.19
"308","IE Ireland","Female","Pancreas","1996",15.27,14.45
"309","IE Ireland","Female","Lung","1996",42.18,41.05
"310","IE Ireland","Female","Melanoma of the skin","1996",16.19,2.67
"311","IE Ireland","Female","Breast female","1996",124.48,51.22
"312","IE Ireland","Female","Bladder","1996",10.97,4.09
"313","NL Netherlands","Male","Colon","1996",59.18,36.13
"314","NL Netherlands","Male","Pancreas","1996",14.99,18.18
"315","NL Netherlands","Male","Lung","1996",149.19,152.59
"316","NL Netherlands","Male","Melanoma of the skin","1996",13.18,4.29
"317","NL Netherlands","Male","Prostate","1996",156.82,71
"318","NL Netherlands","Male","Bladder","1996",67.79,19.37
"319","NL Netherlands","Female","Colon","1996",43.6,26.04
"320","NL Netherlands","Female","Pancreas","1996",11.23,14.1
"321","NL Netherlands","Female","Lung","1996",31.01,27.95
"322","NL Netherlands","Female","Melanoma of the skin","1996",16.49,2.83
"323","NL Netherlands","Female","Breast female","1996",149.34,54.37
"324","NL Netherlands","Female","Bladder","1996",13.52,5.05
"325","AT Austria","Male","Colon","1997",69.11,40.67
"326","AT Austria","Male","Pancreas","1997",21.06,22.64
"327","AT Austria","Male","Lung","1997",99.79,92.83
"328","AT Austria","Male","Melanoma of the skin","1997",17.38,5.99
"329","AT Austria","Male","Prostate","1997",174.74,63.15
"330","AT Austria","Male","Bladder","1997",55.58,17.02
"331","AT Austria","Female","Colon","1997",39.8,21.28
"332","AT Austria","Female","Pancreas","1997",17.34,16.75
"333","AT Austria","Female","Lung","1997",27.98,24.22
"334","AT Austria","Female","Melanoma of the skin","1997",14,3.56
"335","AT Austria","Female","Breast female","1997",128.1,42.95
"336","AT Austria","Female","Bladder","1997",12.98,4.28
"337","CZ Czech Republic","Male","Colon","1997",76.24,47.93
"338","CZ Czech Republic","Male","Pancreas","1997",26,25.06
"339","CZ Czech Republic","Male","Lung","1997",143.98,138.42
"340","CZ Czech Republic","Male","Melanoma of the skin","1997",16.48,5.34
"341","CZ Czech Republic","Male","Prostate","1997",104.42,52.72
"342","CZ Czech Republic","Male","Bladder","1997",44.97,19
"343","CZ Czech Republic","Female","Colon","1997",41.62,27.81
"344","CZ Czech Republic","Female","Pancreas","1997",18.36,17.69
"345","CZ Czech Republic","Female","Lung","1997",25.96,23.76
"346","CZ Czech Republic","Female","Melanoma of the skin","1997",13.42,2.89
"347","CZ Czech Republic","Female","Breast female","1997",97.1,43.96
"348","CZ Czech Republic","Female","Bladder","1997",11.36,4.11
"349","DK Denmark","Male","Colon","1997",49.79,36.3
"350","DK Denmark","Male","Pancreas","1997",18.36,17.31
"351","DK Denmark","Male","Lung","1997",109.98,110.8
"352","DK Denmark","Male","Melanoma of the skin","1997",17.96,5.92
"353","DK Denmark","Male","Prostate","1997",98.65,63.38
"354","DK Denmark","Male","Bladder","1997",69.3,25.37
"355","DK Denmark","Female","Colon","1997",49.13,32.02
"356","DK Denmark","Female","Pancreas","1997",14.44,14.28
"357","DK Denmark","Female","Lung","1997",62.41,60.91
"358","DK Denmark","Female","Melanoma of the skin","1997",19.36,3.65
"359","DK Denmark","Female","Breast female","1997",139.86,58.18
"360","DK Denmark","Female","Bladder","1997",17.15,6.61
"361","IE Ireland","Male","Colon","1997",60.87,41.88
"362","IE Ireland","Male","Pancreas","1997",20.09,19.47
"363","IE Ireland","Male","Lung","1997",100.27,93.33
"364","IE Ireland","Male","Melanoma of the skin","1997",14.06,3.28
"365","IE Ireland","Male","Prostate","1997",143.2,69.62
"366","IE Ireland","Male","Bladder","1997",39.29,13.73
"367","IE Ireland","Female","Colon","1997",44.55,27.67
"368","IE Ireland","Female","Pancreas","1997",14.69,14.81
"369","IE Ireland","Female","Lung","1997",45.67,40.25
"370","IE Ireland","Female","Melanoma of the skin","1997",17.04,2.67
"371","IE Ireland","Female","Breast female","1997",125.04,49.73
"372","IE Ireland","Female","Bladder","1997",10.64,4.85
"373","NL Netherlands","Male","Colon","1997",59.48,39.07
"374","NL Netherlands","Male","Pancreas","1997",13.72,17.21
"375","NL Netherlands","Male","Lung","1997",143.04,148.09
"376","NL Netherlands","Male","Melanoma of the skin","1997",14.41,4.28
"377","NL Netherlands","Male","Prostate","1997",149.09,68.38
"378","NL Netherlands","Male","Bladder","1997",67.24,18.27
"379","NL Netherlands","Female","Colon","1997",44.71,26.51
"380","NL Netherlands","Female","Pancreas","1997",12.39,14.87
"381","NL Netherlands","Female","Lung","1997",32.89,29.05
"382","NL Netherlands","Female","Melanoma of the skin","1997",17.83,2.89
"383","NL Netherlands","Female","Breast female","1997",148.63,53.8
"384","NL Netherlands","Female","Bladder","1997",13.38,5.07
"385","AT Austria","Male","Colon","1998",62.46,35.34
"386","AT Austria","Male","Pancreas","1998",21.53,22.15
"387","AT Austria","Male","Lung","1998",98.13,94.76
"388","AT Austria","Male","Melanoma of the skin","1998",17.18,5.06
"389","AT Austria","Male","Prostate","1998",180.82,60.05
"390","AT Austria","Male","Bladder","1998",52.26,17.39
"391","AT Austria","Female","Colon","1998",42.86,21.89
"392","AT Austria","Female","Pancreas","1998",17.14,15.45
"393","AT Austria","Female","Lung","1998",27.51,23.94
"394","AT Austria","Female","Melanoma of the skin","1998",13.58,3.38
"395","AT Austria","Female","Breast female","1998",123.97,41.77
"396","AT Austria","Female","Bladder","1998",13.23,4.04
"397","CZ Czech Republic","Male","Colon","1998",71.69,49.62
"398","CZ Czech Republic","Male","Pancreas","1998",25.92,24.94
"399","CZ Czech Republic","Male","Lung","1998",144.27,131.73
"400","CZ Czech Republic","Male","Melanoma of the skin","1998",16.68,5.83
"401","CZ Czech Republic","Male","Prostate","1998",109.04,58.49
"402","CZ Czech Republic","Male","Bladder","1998",47.56,19.54
"403","CZ Czech Republic","Female","Colon","1998",44.15,26.24
"404","CZ Czech Republic","Female","Pancreas","1998",18.33,17.03
"405","CZ Czech Republic","Female","Lung","1998",28.72,25.13
"406","CZ Czech Republic","Female","Melanoma of the skin","1998",14.21,2.81
"407","CZ Czech Republic","Female","Breast female","1998",99.99,42.94
"408","CZ Czech Republic","Female","Bladder","1998",11.74,4.85
"409","DK Denmark","Male","Colon","1998",56.77,39.49
"410","DK Denmark","Male","Pancreas","1998",18.73,20.93
"411","DK Denmark","Male","Lung","1998",105.41,106
"412","DK Denmark","Male","Melanoma of the skin","1998",18.27,5.39
"413","DK Denmark","Male","Prostate","1998",106.57,63.71
"414","DK Denmark","Male","Bladder","1998",72.13,26.53
"415","DK Denmark","Female","Colon","1998",47.43,30.14
"416","DK Denmark","Female","Pancreas","1998",16.39,16.06
"417","DK Denmark","Female","Lung","1998",62.12,57.51
