"","Registry","Sex","Cancer","Year","Incidence","Mortality"
"418","DK Denmark","Female","Melanoma of the skin","1998",18.48,3.2
"419","DK Denmark","Female","Breast female","1998",144.31,55.18
"420","DK Denmark","Female","Bladder","1998",17.8,7.05
"421","IE Ireland","Male","Colon","1998",59.02,38.57
"422","IE Ireland","Male","Pancreas","1998",17.54,20.29
"423","IE Ireland","Male","Lung","1998",103.69,98.53
"424","IE Ireland","Male","Melanoma of the skin","1998",12.76,2.1
"425","IE Ireland","Male","Prostate","1998",147.73,66.82
"426","IE Ireland","Male","Bladder","1998",33.8,13.49
"427","IE Ireland","Female","Colon","1998",41.44,24.01
"428","IE Ireland","Female","Pancreas","1998",13.36,14.22
"429","IE Ireland","Female","Lung","1998",45.37,43.31
"430","IE Ireland","Female","Melanoma of the skin","1998",16.31,3.54
"431","IE Ireland","Female","Breast female","1998",127.77,46.51
"432","IE Ireland","Female","Bladder","1998",9.34,3.79
"433","NL Netherlands","Male","Colon","1998",57.94,37.36
"434","NL Netherlands","Male","Pancreas","1998",14.63,17.6
"435","NL Netherlands","Male","Lung","1998",138.23,143.53
"436","NL Netherlands","Male","Melanoma of the skin","1998",14.21,4.78
"437","NL Netherlands","Male","Prostate","1998",150.9,67.79
"438","NL Netherlands","Male","Bladder","1998",67.91,20.89
"439","NL Netherlands","Female","Colon","1998",44.77,26.84
"440","NL Netherlands","Female","Pancreas","1998",11.94,13.51
"441","NL Netherlands","Female","Lung","1998",34.31,30.04
"442","NL Netherlands","Female","Melanoma of the skin","1998",17.22,2.97
"443","NL Netherlands","Female","Breast female","1998",150.39,52.58
"444","NL Netherlands","Female","Bladder","1998",12.69,4.52
"445","AT Austria","Male","Colon","1999",60.08,37.28
"446","AT Austria","Male","Pancreas","1999",22.37,21.75
"447","AT Austria","Male","Lung","1999",97.51,87.52
"448","AT Austria","Male","Melanoma of the skin","1999",15.3,5.55
"449","AT Austria","Male","Prostate","1999",186.65,63.77
"450","AT Austria","Male","Bladder","1999",48.31,16.25
"451","AT Austria","Female","Colon","1999",39.08,23.34
"452","AT Austria","Female","Pancreas","1999",16.86,17.19
"453","AT Austria","Female","Lung","1999",28.7,24.4
"454","AT Austria","Female","Melanoma of the skin","1999",12.53,3.87
"455","AT Austria","Female","Breast female","1999",119.83,39.77
"456","AT Austria","Female","Bladder","1999",11.23,4.25
"457","CZ Czech Republic","Male","Colon","1999",76.6,50.34
"458","CZ Czech Republic","Male","Pancreas","1999",23.84,23.28
"459","CZ Czech Republic","Male","Lung","1999",137.43,129.25
"460","CZ Czech Republic","Male","Melanoma of the skin","1999",18.27,5.7
"461","CZ Czech Republic","Male","Prostate","1999",107.47,57.29
"462","CZ Czech Republic","Male","Bladder","1999",47.16,17.7
"463","CZ Czech Republic","Female","Colon","1999",41.59,26.55
"464","CZ Czech Republic","Female","Pancreas","1999",16.8,16.6
"465","CZ Czech Republic","Female","Lung","1999",27.97,27.11
"466","CZ Czech Republic","Female","Melanoma of the skin","1999",13.87,3.21
"467","CZ Czech Republic","Female","Breast female","1999",105.73,41.91
"468","CZ Czech Republic","Female","Bladder","1999",12.49,4.72
"469","DK Denmark","Male","Colon","1999",56.38,39.19
"470","DK Denmark","Male","Pancreas","1999",18.19,19.65
"471","DK Denmark","Male","Lung","1999",105.89,106.73
"472","DK Denmark","Male","Melanoma of the skin","1999",19.97,6.18
"473","DK Denmark","Male","Prostate","1999",112.56,66.14
"474","DK Denmark","Male","Bladder","1999",69.49,28.39
"475","DK Denmark","Female","Colon","1999",46.55,31.85
"476","DK Denmark","Female","Pancreas","1999",15.27,17.5
"477","DK Denmark","Female","Lung","1999",65.52,60.12
"478","DK Denmark","Female","Melanoma of the skin","1999",21.56,3.71
"479","DK Denmark","Female","Breast female","1999",148.26,54.48
"480","DK Denmark","Female","Bladder","1999",16.98,7.38
"481","IE Ireland","Male","Colon","1999",62.78,41.18
"482","IE Ireland","Male","Pancreas","1999",18.53,19.38
"483","IE Ireland","Male","Lung","1999",101.57,94.19
"484","IE Ireland","Male","Melanoma of the skin","1999",13.68,4.08
"485","IE Ireland","Male","Prostate","1999",160.88,63.68
"486","IE Ireland","Male","Bladder","1999",39.2,14.49
"487","IE Ireland","Female","Colon","1999",43.07,25.11
"488","IE Ireland","Female","Pancreas","1999",13.97,14.93
"489","IE Ireland","Female","Lung","1999",48.12,42.2
"490","IE Ireland","Female","Melanoma of the skin","1999",17.12,2.77
"491","IE Ireland","Female","Breast female","1999",129.43,48.55
"492","IE Ireland","Female","Bladder","1999",11.1,3.75
"493","NL Netherlands","Male","Colon","1999",58.3,37.7
"494","NL Netherlands","Male","Pancreas","1999",13.58,16.9
"495","NL Netherlands","Male","Lung","1999",133.09,139.51
"496","NL Netherlands","Male","Melanoma of the skin","1999",15.52,4.95
"497","NL Netherlands","Male","Prostate","1999",145.44,65.72
"498","NL Netherlands","Male","Bladder","1999",69.32,20.39
"499","NL Netherlands","Female","Colon","1999",46.6,26.89
"500","NL Netherlands","Female","Pancreas","1999",11.47,14.49
"501","NL Netherlands","Female","Lung","1999",34.44,31.94
"502","NL Netherlands","Female","Melanoma of the skin","1999",17.71,3.14
"503","NL Netherlands","Female","Breast female","1999",161.76,53.65
"504","NL Netherlands","Female","Bladder","1999",13.21,5.21
"505","PL Poland","Male","Colon","1999",32.83,27.65
"506","PL Poland","Male","Pancreas","1999",15.05,16.85
"507","PL Poland","Male","Lung","1999",144.2,142.69
"508","PL Poland","Male","Melanoma of the skin","1999",4.8,3.7
"509","PL Poland","Male","Prostate","1999",55.44,38.53
"510","PL Poland","Male","Bladder","1999",38.64,22.43
"511","PL Poland","Female","Colon","1999",22.54,17.55
"512","PL Poland","Female","Pancreas","1999",9.97,11.92
"513","PL Poland","Female","Lung","1999",25.91,23.66
"514","PL Poland","Female","Melanoma of the skin","1999",4.71,2.68
"515","PL Poland","Female","Breast female","1999",68.7,29.57
"516","PL Poland","Female","Bladder","1999",6.16,3.43
"517","AT Austria","Male","Colon","2000",63.18,35.12
"518","AT Austria","Male","Pancreas","2000",21.87,22.55
"519","AT Austria","Male","Lung","2000",96.48,85.32
"520","AT Austria","Male","Melanoma of the skin","2000",17.3,5.36
"521","AT Austria","Male","Prostate","2000",204.15,62.99
"522","AT Austria","Male","Bladder","2000",50.01,15.05
"523","AT Austria","Female","Colon","2000",38.95,22.16
"524","AT Austria","Female","Pancreas","2000",18.16,17.18
"525","AT Austria","Female","Lung","2000",29.15,24.98
"526","AT Austria","Female","Melanoma of the skin","2000",14.05,3.12
"527","AT Austria","Female","Breast female","2000",123.59,42.02
"528","AT Austria","Female","Bladder","2000",11.82,4.23
"529","CZ Czech Republic","Male","Colon","2000",75.23,51.36
"530","CZ Czech Republic","Male","Pancreas","2000",25.03,23.99
"531","CZ Czech Republic","Male","Lung","2000",136.29,133.86
"532","CZ Czech Republic","Male","Melanoma of the skin","2000",19.36,5.27
"533","CZ Czech Republic","Male","Prostate","2000",105.14,57.77
"534","CZ Czech Republic","Male","Bladder","2000",46.04,20.77
"535","CZ Czech Republic","Female","Colon","2000",42.7,26.79
"536","CZ Czech Republic","Female","Pancreas","2000",17.72,17.7
"537","CZ Czech Republic","Female","Lung","2000",30.33,26.96
"538","CZ Czech Republic","Female","Melanoma of the skin","2000",14.46,3.1
"539","CZ Czech Republic","Female","Breast female","2000",103.16,42.58
"540","CZ Czech Republic","Female","Bladder","2000",11.46,4.76
"541","DK Denmark","Male","Colon","2000",53.77,37.21
"542","DK Denmark","Male","Pancreas","2000",18.46,20.69
"543","DK Denmark","Male","Lung","2000",112.46,107.57
"544","DK Denmark","Male","Melanoma of the skin","2000",22.46,5.71
"545","DK Denmark","Male","Prostate","2000",118.91,68.56
"546","DK Denmark","Male","Bladder","2000",66.79,25.31
"547","DK Denmark","Female","Colon","2000",45.42,31.81
"548","DK Denmark","Female","Pancreas","2000",15.31,16.63
"549","DK Denmark","Female","Lung","2000",65.49,59.94
"550","DK Denmark","Female","Melanoma of the skin","2000",22.76,4.31
"551","DK Denmark","Female","Breast female","2000",149.16,53.75
"552","DK Denmark","Female","Bladder","2000",16.97,7.43
"553","IE Ireland","Male","Colon","2000",61.4,38.28
"554","IE Ireland","Male","Pancreas","2000",19.2,18.85
"555","IE Ireland","Male","Lung","2000",102.38,99.2
"556","IE Ireland","Male","Melanoma of the skin","2000",12.28,2.36
"557","IE Ireland","Male","Prostate","2000",178.78,66.89
"558","IE Ireland","Male","Bladder","2000",37.69,10.67
"559","IE Ireland","Female","Colon","2000",43.67,24.54
"560","IE Ireland","Female","Pancreas","2000",15.19,13.29
"561","IE Ireland","Female","Lung","2000",47.39,45.84
"562","IE Ireland","Female","Melanoma of the skin","2000",18.6,2.47
"563","IE Ireland","Female","Breast female","2000",136.09,49.69
"564","IE Ireland","Female","Bladder","2000",11.5,4.35
"565","NL Netherlands","Male","Colon","2000",59.39,36.52
"566","NL Netherlands","Male","Pancreas","2000",15.15,17.38
"567","NL Netherlands","Male","Lung","2000",128.73,132.06
"568","NL Netherlands","Male","Melanoma of the skin","2000",15.25,4.74
"569","NL Netherlands","Male","Prostate","2000",147.69,63.48
"570","NL Netherlands","Male","Bladder","2000",66.76,19.56
"571","NL Netherlands","Female","Colon","2000",46.77,25.82
"572","NL Netherlands","Female","Pancreas","2000",11.44,13.66
"573","NL Netherlands","Female","Lung","2000",36.48,33.5
"574","NL Netherlands","Female","Melanoma of the skin","2000",18.38,2.73
"575","NL Netherlands","Female","Breast female","2000",159.97,49.48
"576","NL Netherlands","Female","Bladder","2000",13.41,4.61
"577","PL Poland","Male","Colon","2000",31.37,28.89
"578","PL Poland","Male","Pancreas","2000",15.67,17.81
"579","PL Poland","Male","Lung","2000",142.65,147.79
"580","PL Poland","Male","Melanoma of the skin","2000",5.27,4.24
"581","PL Poland","Male","Prostate","2000",63.72,41.75
"582","PL Poland","Male","Bladder","2000",43.14,22.88
"583","PL Poland","Female","Colon","2000",21.57,18.39
"584","PL Poland","Female","Pancreas","2000",10.33,12.61
"585","PL Poland","Female","Lung","2000",27.02,25.77
"586","PL Poland","Female","Melanoma of the skin","2000",5.18,2.95
"587","PL Poland","Female","Breast female","2000",74.38,30.2
"588","PL Poland","Female","Bladder","2000",6.69,3.53
"589","AT Austria","Male","Colon","2001",61.35,34.2
"590","AT Austria","Male","Pancreas","2001",19.55,20
"591","AT Austria","Male","Lung","2001",91.55,82.77
"592","AT Austria","Male","Melanoma of the skin","2001",16.58,4.72
"593","AT Austria","Male","Prostate","2001",198.92,59.05
"594","AT Austria","Male","Bladder","2001",46.9,16.24
"595","AT Austria","Female","Colon","2001",37.18,20.75
"596","AT Austria","Female","Pancreas","2001",17.6,17.73
"597","AT Austria","Female","Lung","2001",28.83,23.6
"598","AT Austria","Female","Melanoma of the skin","2001",13.09,2.99
"599","AT Austria","Female","Breast female","2001",127.08,39.19
"600","AT Austria","Female","Bladder","2001",11.96,4.47
"601","BG Bulgaria","Male","Colon","2001",35.09,19.67
"602","BG Bulgaria","Male","Pancreas","2001",17.83,15.35
"603","BG Bulgaria","Male","Lung","2001",88.72,72
"604","BG Bulgaria","Male","Melanoma of the skin","2001",4.61,2.55
"605","BG Bulgaria","Male","Prostate","2001",47.17,29.42
"606","BG Bulgaria","Male","Bladder","2001",27.43,11.68
"607","BG Bulgaria","Female","Colon","2001",25.23,13.04
"608","BG Bulgaria","Female","Pancreas","2001",9.68,8.66
"609","BG Bulgaria","Female","Lung","2001",13.37,12.82
"610","BG Bulgaria","Female","Melanoma of the skin","2001",4.2,1.86
"611","BG Bulgaria","Female","Breast female","2001",85.72,27.48
"612","BG Bulgaria","Female","Bladder","2001",5.63,2.86
"613","CZ Czech Republic","Male","Colon","2001",79.65,51.91
"614","CZ Czech Republic","Male","Pancreas","2001",24.76,25.17
"615","CZ Czech Republic","Male","Lung","2001",131.08,128.46
"616","CZ Czech Republic","Male","Melanoma of the skin","2001",19.94,5.91
"617","CZ Czech Republic","Male","Prostate","2001",115.14,59.15
"618","CZ Czech Republic","Male","Bladder","2001",47.49,20.43
"619","CZ Czech Republic","Female","Colon","2001",43.89,26.74
"620","CZ Czech Republic","Female","Pancreas","2001",17.81,18.13
"621","CZ Czech Republic","Female","Lung","2001",31.08,28.62
"622","CZ Czech Republic","Female","Melanoma of the skin","2001",14.54,3.66
"623","CZ Czech Republic","Female","Breast female","2001",106.56,41.76
"624","CZ Czech Republic","Female","Bladder","2001",11.92,5.08
"625","DK Denmark","Male","Colon","2001",59.41,37.01
"626","DK Denmark","Male","Pancreas","2001",18.66,17.38
"627","DK Denmark","Male","Lung","2001",109.83,106.27
"628","DK Denmark","Male","Melanoma of the skin","2001",19.64,6.22
"629","DK Denmark","Male","Prostate","2001",121.24,70.41
"630","DK Denmark","Male","Bladder","2001",63.57,21.67
"631","DK Denmark","Female","Colon","2001",47.81,29.54
"632","DK Denmark","Female","Pancreas","2001",17.45,16.9
"633","DK Denmark","Female","Lung","2001",67.4,61.48
"634","DK Denmark","Female","Melanoma of the skin","2001",22.27,4.41
"635","DK Denmark","Female","Breast female","2001",152.1,53.21
"636","DK Denmark","Female","Bladder","2001",17.74,7.59
"637","IE Ireland","Male","Colon","2001",61.11,38.82
"638","IE Ireland","Male","Pancreas","2001",19.07,20.1
"639","IE Ireland","Male","Lung","2001",101.44,94.7
"640","IE Ireland","Male","Melanoma of the skin","2001",14.06,1.98
"641","IE Ireland","Male","Prostate","2001",191.68,67.41
"642","IE Ireland","Male","Bladder","2001",40.98,13.45
"643","IE Ireland","Female","Colon","2001",43.03,20.2
"644","IE Ireland","Female","Pancreas","2001",13.55,13.94
"645","IE Ireland","Female","Lung","2001",47.17,42.09
"646","IE Ireland","Female","Melanoma of the skin","2001",17.79,2.28
"647","IE Ireland","Female","Breast female","2001",141.72,49.22
"648","IE Ireland","Female","Bladder","2001",11.14,4.09
"649","NL Netherlands","Male","Colon","2001",60.26,33.6
"650","NL Netherlands","Male","Pancreas","2001",14.57,19.5
"651","NL Netherlands","Male","Lung","2001",122.2,130.95
"652","NL Netherlands","Male","Melanoma of the skin","2001",17.92,4.87
"653","NL Netherlands","Male","Prostate","2001",146.79,59.51
"654","NL Netherlands","Male","Bladder","2001",65.93,17.88
"655","NL Netherlands","Female","Colon","2001",44.89,26.2
"656","NL Netherlands","Female","Pancreas","2001",10.38,13.63
"657","NL Netherlands","Female","Lung","2001",37.91,34.25
"658","NL Netherlands","Female","Melanoma of the skin","2001",20.52,3.44
"659","NL Netherlands","Female","Breast female","2001",163.57,49.15
"660","NL Netherlands","Female","Bladder","2001",14.49,4.49
"661","PL Poland","Male","Colon","2001",34.6,30.12
"662","PL Poland","Male","Pancreas","2001",15,17.6
"663","PL Poland","Male","Lung","2001",140.05,149.15
"664","PL Poland","Male","Melanoma of the skin","2001",6.32,3.63
"665","PL Poland","Male","Prostate","2001",67.45,44.7
"666","PL Poland","Male","Bladder","2001",39.52,22.16
"667","PL Poland","Female","Colon","2001",23.2,19.59
"668","PL Poland","Female","Pancreas","2001",10.27,12.32
"669","PL Poland","Female","Lung","2001",26.96,26.84
"670","PL Poland","Female","Melanoma of the skin","2001",5.65,2.88
"671","PL Poland","Female","Breast female","2001",76.14,30.48
"672","PL Poland","Female","Bladder","2001",6.43,3.73
"673","AT Austria","Male","Colon","2002",58.11,34.4
"674","AT Austria","Male","Pancreas","2002",23.66,22.21
"675","AT Austria","Male","Lung","2002",93.11,86.76
"676","AT Austria","Male","Melanoma of the skin","2002",17.07,4.98
"677","AT Austria","Male","Prostate","2002",192.12,54.05
"678","AT Austria","Male","Bladder","2002",45.72,14.93
"679","AT Austria","Female","Colon","2002",36.62,20.26
"680","AT Austria","Female","Pancreas","2002",16.69,16.04
"681","AT Austria","Female","Lung","2002",30.64,25.75
"682","AT Austria","Female","Melanoma of the skin","2002",12.8,3.13
"683","AT Austria","Female","Breast female","2002",122.47,39.27
"684","AT Austria","Female","Bladder","2002",11.82,4.09
"685","BG Bulgaria","Male","Colon","2002",37,22.17
"686","BG Bulgaria","Male","Pancreas","2002",16.87,16.13
"687","BG Bulgaria","Male","Lung","2002",88.54,74.14
"688","BG Bulgaria","Male","Melanoma of the skin","2002",4.72,1.93
"689","BG Bulgaria","Male","Prostate","2002",49.22,28.87
"690","BG Bulgaria","Male","Bladder","2002",30.09,11.52
"691","BG Bulgaria","Female","Colon","2002",26.02,14.54
"692","BG Bulgaria","Female","Pancreas","2002",8.87,8.14
"693","BG Bulgaria","Female","Lung","2002",14.15,13.15
"694","BG Bulgaria","Female","Melanoma of the skin","2002",3.92,1.72
"695","BG Bulgaria","Female","Breast female","2002",84.32,27.73
"696","BG Bulgaria","Female","Bladder","2002",5.47,2.64
"697","CZ Czech Republic","Male","Colon","2002",82.82,49.54
"698","CZ Czech Republic","Male","Pancreas","2002",26.78,26.49
"699","CZ Czech Republic","Male","Lung","2002",133.67,127.94
"700","CZ Czech Republic","Male","Melanoma of the skin","2002",20.79,5.84
"701","CZ Czech Republic","Male","Prostate","2002",122.46,62.07
"702","CZ Czech Republic","Male","Bladder","2002",49.15,21.31
"703","CZ Czech Republic","Female","Colon","2002",43.83,26.24
"704","CZ Czech Republic","Female","Pancreas","2002",18.28,17.2
"705","CZ Czech Republic","Female","Lung","2002",30.15,27.49
"706","CZ Czech Republic","Female","Melanoma of the skin","2002",16.33,3.21
"707","CZ Czech Republic","Female","Breast female","2002",112.44,43.25
"708","CZ Czech Republic","Female","Bladder","2002",12.2,4.57
"709","DK Denmark","Male","Colon","2002",58.44,37.47
"710","DK Denmark","Male","Pancreas","2002",18.22,17.3
"711","DK Denmark","Male","Lung","2002",108.42,99.01
"712","DK Denmark","Male","Melanoma of the skin","2002",20.61,4.68
"713","DK Denmark","Male","Prostate","2002",132.07,70.24
"714","DK Denmark","Male","Bladder","2002",64.4,19.58
"715","DK Denmark","Female","Colon","2002",47.53,28.22
"716","DK Denmark","Female","Pancreas","2002",16.13,14.5
"717","DK Denmark","Female","Lung","2002",70.62,59.47
"718","DK Denmark","Female","Melanoma of the skin","2002",21.42,4.11
"719","DK Denmark","Female","Breast female","2002",160.69,54.25
"720","DK Denmark","Female","Bladder","2002",18.06,6.41
"721","IE Ireland","Male","Colon","2002",57.91,33.17
"722","IE Ireland","Male","Pancreas","2002",20.57,19.84
"723","IE Ireland","Male","Lung","2002",99.96,88.12
"724","IE Ireland","Male","Melanoma of the skin","2002",14.79,3.39
"725","IE Ireland","Male","Prostate","2002",211.16,67.95
"726","IE Ireland","Male","Bladder","2002",36.73,13.31
"727","IE Ireland","Female","Colon","2002",42.83,21.29
"728","IE Ireland","Female","Pancreas","2002",15.84,14.79
"729","IE Ireland","Female","Lung","2002",50.16,41.19
"730","IE Ireland","Female","Melanoma of the skin","2002",22.45,3.63
"731","IE Ireland","Female","Breast female","2002",148.75,44.07
"732","IE Ireland","Female","Bladder","2002",12.7,3.18
"733","NL Netherlands","Male","Colon","2002",59.04,35.18
"734","NL Netherlands","Male","Pancreas","2002",14.53,16.84
"735","NL Netherlands","Male","Lung","2002",122.96,127.77
"736","NL Netherlands","Male","Melanoma of the skin","2002",17.55,5.26
"737","NL Netherlands","Male","Prostate","2002",149.49,60.63
"738","NL Netherlands","Male","Bladder","2002",67.14,18.23
"739","NL Netherlands","Female","Colon","2002",45.56,25.2
"740","NL Netherlands","Female","Pancreas","2002",11.07,14.24
"741","NL Netherlands","Female","Lung","2002",40.09,36.42
"742","NL Netherlands","Female","Melanoma of the skin","2002",20.22,3.06
"743","NL Netherlands","Female","Breast female","2002",159.89,48.64
"744","NL Netherlands","Female","Bladder","2002",14.05,5.12
"745","PL Poland","Male","Colon","2002",35.28,30.71
"746","PL Poland","Male","Pancreas","2002",15.05,17.9
"747","PL Poland","Male","Lung","2002",138.21,150.07
"748","PL Poland","Male","Melanoma of the skin","2002",6.59,3.6
"749","PL Poland","Male","Prostate","2002",69.04,45.49
"750","PL Poland","Male","Bladder","2002",42,23.02
"751","PL Poland","Female","Colon","2002",23.28,19.05
"752","PL Poland","Female","Pancreas","2002",10.13,12.27
"753","PL Poland","Female","Lung","2002",28.24,28.07
"754","PL Poland","Female","Melanoma of the skin","2002",6.15,2.77
"755","PL Poland","Female","Breast female","2002",75.81,30.01
"756","PL Poland","Female","Bladder","2002",6.64,3.49
"757","AT Austria","Male","Colon","2003",63.2,35.48
"758","AT Austria","Male","Pancreas","2003",22.08,22.61
"759","AT Austria","Male","Lung","2003",91.19,82.35
"760","AT Austria","Male","Melanoma of the skin","2003",18.86,6.06
"761","AT Austria","Male","Prostate","2003",209.49,56.9
"762","AT Austria","Male","Bladder","2003",45.92,15.19
"763","AT Austria","Female","Colon","2003",36.83,20.57
"764","AT Austria","Female","Pancreas","2003",17.84,17.79
"765","AT Austria","Female","Lung","2003",30.94,24.47
"766","AT Austria","Female","Melanoma of the skin","2003",13.32,3.16
"767","AT Austria","Female","Breast female","2003",123.31,39.32
"768","AT Austria","Female","Bladder","2003",11.23,3.96
"769","BG Bulgaria","Male","Colon","2003",40.56,24.78
"770","BG Bulgaria","Male","Pancreas","2003",17.98,15.66
"771","BG Bulgaria","Male","Lung","2003",94.51,76.75
"772","BG Bulgaria","Male","Melanoma of the skin","2003",5.37,2.3
"773","BG Bulgaria","Male","Prostate","2003",50.57,28.12
"774","BG Bulgaria","Male","Bladder","2003",28.62,11.15
"775","BG Bulgaria","Female","Colon","2003",26.57,13.61
"776","BG Bulgaria","Female","Pancreas","2003",11.15,9.37
"777","BG Bulgaria","Female","Lung","2003",14.08,12.62
"778","BG Bulgaria","Female","Melanoma of the skin","2003",3.69,1.57
"779","BG Bulgaria","Female","Breast female","2003",88.84,28.61
"780","BG Bulgaria","Female","Bladder","2003",5.94,2.85
"781","CZ Czech Republic","Male","Colon","2003",81.24,52.03
"782","CZ Czech Republic","Male","Pancreas","2003",26.92,26.54
"783","CZ Czech Republic","Male","Lung","2003",132.22,122.88
"784","CZ Czech Republic","Male","Melanoma of the skin","2003",22.18,5.86
"785","CZ Czech Republic","Male","Prostate","2003",131.01,63.81
"786","CZ Czech Republic","Male","Bladder","2003",51.88,20.23
"787","CZ Czech Republic","Female","Colon","2003",43.3,27.89
"788","CZ Czech Republic","Female","Pancreas","2003",18.19,18.24
"789","CZ Czech Republic","Female","Lung","2003",29.18,28.03
"790","CZ Czech Republic","Female","Melanoma of the skin","2003",16.84,3.25
"791","CZ Czech Republic","Female","Breast female","2003",118.97,42.15
"792","CZ Czech Republic","Female","Bladder","2003",12.01,4.41
"793","DK Denmark","Male","Colon","2003",58.2,35.72
"794","DK Denmark","Male","Pancreas","2003",19.72,18.33
"795","DK Denmark","Male","Lung","2003",105,99.95
"796","DK Denmark","Male","Melanoma of the skin","2003",24.21,5.61
"797","DK Denmark","Male","Prostate","2003",138.4,64.51
"798","DK Denmark","Male","Bladder","2003",69.66,21.99
"799","DK Denmark","Female","Colon","2003",45.79,27.92
"800","DK Denmark","Female","Pancreas","2003",15.63,15.21
"801","DK Denmark","Female","Lung","2003",69.01,60.87
"802","DK Denmark","Female","Melanoma of the skin","2003",25.7,4.22
"803","DK Denmark","Female","Breast female","2003",153.45,49.28
"804","DK Denmark","Female","Bladder","2003",17.52,7.38
"805","IE Ireland","Male","Colon","2003",59.06,28.99
"806","IE Ireland","Male","Pancreas","2003",17.97,17.72
"807","IE Ireland","Male","Lung","2003",101.26,92.43
"808","IE Ireland","Male","Melanoma of the skin","2003",17.33,4.94
"809","IE Ireland","Male","Prostate","2003",203.48,58.97
"810","IE Ireland","Male","Bladder","2003",34.93,15.14
"811","IE Ireland","Female","Colon","2003",42.36,23.39
"812","IE Ireland","Female","Pancreas","2003",14.3,15.82
"813","IE Ireland","Female","Lung","2003",51.75,43.99
"814","IE Ireland","Female","Melanoma of the skin","2003",20.69,2.77
"815","IE Ireland","Female","Breast female","2003",148,46.14
"816","IE Ireland","Female","Bladder","2003",11.56,4.51
"817","NL Netherlands","Male","Colon","2003",61.99,35.69
"818","NL Netherlands","Male","Pancreas","2003",13.47,16.92
"819","NL Netherlands","Male","Lung","2003",120.49,120.95
"820","NL Netherlands","Male","Melanoma of the skin","2003",17.68,5.11
"821","NL Netherlands","Male","Prostate","2003",161.33,58.54
"822","NL Netherlands","Male","Bladder","2003",68.58,18.52
"823","NL Netherlands","Female","Colon","2003",47.22,25.45
"824","NL Netherlands","Female","Pancreas","2003",11.11,13.7
"825","NL Netherlands","Female","Lung","2003",43.31,38.32
"826","NL Netherlands","Female","Melanoma of the skin","2003",22.18,3.27
"827","NL Netherlands","Female","Breast female","2003",160.16,46.48
"828","NL Netherlands","Female","Bladder","2003",14.02,4.96
"829","PL Poland","Male","Colon","2003",37.61,30.76
"830","PL Poland","Male","Pancreas","2003",15.18,18.28
"831","PL Poland","Male","Lung","2003",138.91,145.12
"832","PL Poland","Male","Melanoma of the skin","2003",7.22,4.15
"833","PL Poland","Male","Prostate","2003",71.07,43.45
"834","PL Poland","Male","Bladder","2003",41.97,24.92
"835","PL Poland","Female","Colon","2003",24.02,18.97
"836","PL Poland","Female","Pancreas","2003",10.55,12.92
"837","PL Poland","Female","Lung","2003",29.58,28.79
